first_name,second_name,now_cost,total_points,form,minutes,team,element_type
Gabriel,Fernando de Jesus,6.8,7,1.0,211,1,4
Gabriel,dos Santos Magalhães,6.2,51,3.3,1043,1,2
Kai,Havertz,7.9,46,0.7,990,1,4
Jurriën,Timber,5.5,30,3.0,770,1,2
Jorge Luiz,Frello Filho,4.7,4,0.0,199,1,3
Jakub,Kiwior,4.8,4,0.3,98,1,2
Gabriel,Martinelli Silva,6.9,47,3.3,678,1,3
Ethan,Nwaneri,4.5,11,2.3,60,1,3
Martin,Ødegaard,8.2,20,4.3,424,1,3
David,Raya Martin,5.5,48,3.7,1080,1,1
Declan,Rice,6.2,19,1.3,832,1,3
Bukayo,Saka,10.2,80,5.7,902,1,3
William,Saliba,6.0,30,3.7,929,1,2
Thomas,Partey,5.0,39,4.0,1017,1,3
Tomiyasu,Takehiro,4.8,1,0.0,6,1,2
Leandro,Trossard,6.9,34,2.0,676,1,3
Benjamin,White,6.2,27,0.7,694,1,2
Oleksandr,Zinchenko,4.8,9,0.7,130,1,2
Norberto,Murara Neto,4.3,7,0.0,180,1,1
Raheem,Sterling,6.7,8,1.3,128,1,3
Riccardo,Calafiori,5.8,20,2.0,450,1,2
Myles,Lewis-Skelly,4.5,1,0.0,15,1,3
Mikel,Merino,6.0,16,1.7,368,1,3
Leon,Bailey,6.3,23,1.7,581,2,3
Ross,Barkley,5.2,24,3.0,361,2,3
Emiliano,Buendía Stati,5.2,4,0.0,28,2,3
Matty,Cash,4.4,14,0.7,470,2,2
Diego Carlos,Santos Silva,4.5,12,0.3,558,2,2
Lucas,Digne,4.7,38,1.0,862,2,2
Jhon,Durán,5.9,32,1.0,299,2,4
Boubacar,Kamara,5.0,2,0.3,33,2,3
Ezri,Konsa Ngoyo,4.4,20,0.3,821,2,2
Ian,Maatsen,4.6,9,0.3,221,2,2
Emiliano,Martínez Romero,5.0,34,1.3,1080,2,1
John,McGinn,5.2,20,2.7,619,2,3
Kosta,Nedeljković,4.0,3,0.0,93,2,2
Pau,Torres,4.4,20,0.7,1080,2,2
Jacob,Ramsey,5.4,22,1.0,632,2,3
Morgan,Rogers,5.4,47,4.0,980,2,3
Youri,Tielemans,5.5,37,2.0,1063,2,3
Ollie,Watkins,9.0,62,3.7,930,2,4
Amadou,Onana,4.9,31,1.3,704,2,3
Jaden,Philogene,5.3,6,1.0,204,2,3
Lamare,Bogarde,4.0,2,0.0,213,2,2
Max,Aarons,4.3,1,0.3,15,3,2
Tyler,Adams,4.9,5,1.3,163,3,3
David,Brooks,4.9,11,3.0,59,3,3
Ryan,Christie,4.9,23,1.0,700,3,3
Lewis,Cook,5.0,37,2.7,1073,3,3
Enes,Ünal,5.4,12,2.0,158,3,4
Daniel,Jebbison,4.5,2,0.0,26,3,4
Milos,Kerkez,4.4,31,4.0,1007,3,2
Justin,Kluivert,5.3,37,4.0,696,3,3
Dango,Ouattara,5.0,23,0.3,437,3,3
Philip,Billing,4.8,2,0.0,21,3,3
Alex,Scott,4.8,11,0.0,258,3,3
Antoine,Semenyo,5.7,47,4.3,1057,3,3
Marcos,Senesi,4.8,20,1.0,836,3,2
Luis,Sinisterra,4.9,19,0.0,203,3,3
Adam,Smith,4.5,19,1.0,678,3,2
Marcus,Tavernier,5.5,35,1.7,891,3,3
Mark,Travers,4.4,10,1.0,270,3,1
Illia,Zabarnyi,4.4,23,1.0,1080,3,2
Kepa,Arrizabalaga,4.5,20,1.0,630,3,1
Dean,Huijsen,4.3,6,1.0,242,3,2
Julián,Araujo Zúñiga,4.4,8,0.3,352,3,2
Francisco Evanilson,de Lima Barbosa,6.0,47,5.7,796,3,4
Kristoffer,Ajer,4.4,7,0.0,637,4,2
Nathan,Collins,4.5,35,2.7,1080,4,2
Mikkel,Damsgaard,5.0,43,4.7,860,4,3
Mark,Flekken,4.5,38,4.7,1080,4,1
Vitaly,Janelt,4.9,41,5.7,989,4,3
Mathias,Jensen,5.3,16,2.0,436,4,3
Yunus Emre,Konak,4.5,4,0.3,18,4,3
Keane,Lewis-Potter,5.0,32,2.7,853,4,3
Bryan,Mbeumo,7.9,79,3.7,1075,4,3
Ben,Mee,4.2,1,0.0,4,4,2
Christian,Nørgaard,4.8,22,1.7,815,4,3
Frank,Onyeka,4.9,2,0.0,23,4,3
Ethan,Pinnock,4.5,29,2.7,1080,4,2
Mads,Roerslev Rasmussen,4.4,12,0.0,444,4,2
Kevin,Schade,5.1,19,0.7,500,4,3
